site_id,site_name,site_type,month,year,filename,file_exists,excluded,pixel_valid,valid_mask,n_scenes,mean_cloud,patch_px,crs,exclude_reason
P002,Fujairah,terminal,2024_04,2024,S2_P002_Fujairah_2024_04.tif,1,0,1,1,5,21.5526274,320,EPSG:32640,
P002,Fujairah,terminal,2024_05,2024,S2_P002_Fujairah_2024_05.tif,1,0,1,1,5,30.340749600000002,320,EPSG:32640,
P002,Fujairah,terminal,2024_06,2024,S2_P002_Fujairah_2024_06.tif,1,0,1,1,6,42.099800833333326,320,EPSG:32640,
P002,Fujairah,terminal,2024_07,2024,S2_P002_Fujairah_2024_07.tif,1,0,1,1,6,42.76009833333333,320,EPSG:32640,
P002,Fujairah,terminal,2024_08,2024,S2_P002_Fujairah_2024_08.tif,1,0,1,1,4,33.629782000000006,320,EPSG:32640,
P002,Fujairah,terminal,2024_09,2024,S2_P002_Fujairah_2024_09.tif,1,0,1,1,5,5.3225172,320,EPSG:32640,
P002,Fujairah,terminal,2024_10,2024,S2_P002_Fujairah_2024_10.tif,1,0,1,1,6,5.414674333333333,320,EPSG:32640,
P002,Fujairah,terminal,2024_11,2024,S2_P002_Fujairah_2024_11.tif,1,0,1,1,6,2.2776593333333333,320,EPSG:32640,
P002,Fujairah,terminal,2024_12,2024,S2_P002_Fujairah_2024_12.tif,1,0,1,1,6,6.133793833333333,320,EPSG:32640,
P002,Fujairah,terminal,2025_01,2025,S2_P002_Fujairah_2025_01.tif,1,0,1,1,6,16.053355333333336,320,EPSG:32640,
P002,Fujairah,terminal,2025_02,2025,S2_P002_Fujairah_2025_02.tif,1,0,1,1,5,16.1116666,320,EPSG:32640,
P002,Fujairah,terminal,2025_03,2025,S2_P002_Fujairah_2025_03.tif,1,0,1,1,6,17.5079955,320,EPSG:32640,
P002,Fujairah,terminal,2025_04,2025,S2_P002_Fujairah_2025_04.tif,1,0,1,1,6,0.8114583333333334,320,EPSG:32640,
P002,Fujairah,terminal,2025_05,2025,S2_P002_Fujairah_2025_05.tif,1,0,1,1,8,27.5248255,320,EPSG:32640,
P002,Fujairah,terminal,2025_06,2025,S2_P002_Fujairah_2025_06.tif,1,0,1,1,7,33.29748942857143,320,EPSG:32640,
P002,Fujairah,terminal,2025_07,2025,S2_P002_Fujairah_2025_07.tif,1,0,1,1,9,31.89720422222222,320,EPSG:32640,
P002,Fujairah,terminal,2025_08,2025,S2_P002_Fujairah_2025_08.tif,1,0,1,1,5,31.628328,320,EPSG:32640,
P002,Fujairah,terminal,2025_09,2025,S2_P002_Fujairah_2025_09.tif,1,0,1,1,5,23.3169854,320,EPSG:32640,
